Contact Angle  Base Radius
#File:  17 1000
150.141022521  0.95213983152
112.611443666  1.99664488596
107.893977947  2.10997982824
108.463698142  2.09599309819
110.932485074  2.03614591627
111.724034791  2.01413538042
107.280617637  2.12929907832
110.638334109  2.04430544985
111.337562826  2.0318963599
109.838468868  2.06825628065
110.425135848  2.04843889756
113.861703097  1.96492292672
113.985978375  1.96628815537
114.209877308  1.95771361255
113.178536799  1.9886151707
111.442530972  2.02790427463
106.01438792  2.15538299187
108.451545097  2.10203809258
110.893325062  2.04112685393
112.239274293  2.00681912442
113.365859156  1.97468907201
113.922076947  1.96242897087
109.08695744  2.0858141106
110.905180847  2.04313843509
110.294283457  2.05381404383
108.729138975  2.09017232799
115.045230933  1.93790817204
110.429290952  2.04557458039
110.411577941  2.05141429669
111.832403433  2.01542236198
110.749794121  2.04010298347
115.170807089  1.9312104853
111.031489933  2.03821434034
112.856364836  1.98713470808
112.625278832  1.99616940328
110.682317654  2.03783685781
109.445614896  2.07485937039
108.568600911  2.090172972
112.781960338  1.99309329964
112.012039153  2.00866563404
111.337383558  2.02153240484
111.903085044  2.00925620419
113.968015823  1.96374700424
113.880600267  1.96489699691
112.166218402  2.00803594275
111.199923552  2.0318686067
107.0318158  2.13240955031
112.647937207  1.99649027957
111.718188301  2.01985163199
109.096521452  2.07590597712
115.560389693  1.91842398736
112.968022164  1.98353485579
108.369381209  2.09340554603
106.723157761  2.13183673041
111.175420831  2.02253312007
112.124203962  2.0070430481
111.097168535  2.02523590727
110.067379666  2.05184904247
109.368131672  2.07241948599
107.619180795  2.10773058862
111.771130986  2.00672522346
109.324789953  2.06241033772
107.46201426  2.10936864847
108.404179508  2.08387635536
108.732267801  2.08003589355
106.403310502  2.13630080242
110.626010486  2.04512349152
109.658645535  2.0652324624
109.437021465  2.06780576158
109.537391935  2.06805793576
111.036769937  2.03269997651
107.027826148  2.12556024088
104.248167627  2.18698181484
107.905690914  2.10559406966
105.128437309  2.16479744812
109.23486104  2.06528969349
104.127462201  2.19151468165
108.079398282  2.09552796155
107.8362936  2.10934627338
107.075014302  2.1184451078
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
#File:  17 2000
nan  nan
140.146586431  1.55045684093
117.704807063  2.32691673461
110.554662051  2.55104824875
108.473320403  2.6111810153
106.198259447  2.68502476097
108.46392918  2.6160544444
109.302059106  2.58466561743
109.331063154  2.58632127957
109.381372833  2.58636374027
108.382425017  2.61597594547
107.448497085  2.64494202528
106.300248388  2.68057010501
109.282745405  2.58610593557
107.81097666  2.6286742528
109.987814068  2.56435835829
108.259086451  2.61334513951
108.434340775  2.61857436322
107.248790352  2.6509091639
108.371511533  2.61779427387
109.504600232  2.58265720891
109.028722898  2.59442608202
106.553737841  2.67422255977
107.958643976  2.62643248268
107.133702909  2.65418031003
109.683730461  2.58048056843
111.004847195  2.53503232909
108.943393098  2.59931869619
108.033405906  2.62722465699
107.873031817  2.63177777207
108.486181748  2.61254625001
110.107511884  2.56345665319
107.441063709  2.64459371899
109.742953601  2.57399911339
107.270058482  2.65188767884
105.15407981  2.70404533704
106.606289654  2.66746006793
108.723426659  2.60238236219
109.354855811  2.58682055059
107.993012288  2.6300091892
107.253563903  2.65316311629
107.492397416  2.64412036526
107.595930663  2.64012617803
111.148415596  2.53032865027
109.036502262  2.59613534617
108.448543051  2.61775260811
107.20009807  2.65653638727
106.779146965  2.66697223835
107.100718802  2.65056188146
107.239774394  2.65226718835
108.32594483  2.61679659643
107.902249225  2.63357877417
110.036344415  2.56876354636
110.932618948  2.53697064122
108.072989021  2.62661544672
107.35189013  2.65058121479
107.823174538  2.63589752723
108.27713985  2.61661807232
109.010664105  2.5998190043
107.742630666  2.63088514206
106.232785324  2.68184464645
108.732732397  2.60411136412
107.531219747  2.63790884734
109.729969729  2.57521431337
110.092494373  2.56017504571
110.182585102  2.5592342601
108.003988592  2.62713404121
107.713744948  2.63609710242
108.573239936  2.61372829661
110.688306165  2.54425808872
110.259684591  2.5588022046
108.412914488  2.61337819625
109.750702507  2.57333271144
109.179781323  2.59440362694
108.939662315  2.59462142032
108.879971332  2.59860828298
108.371106826  2.61719379971
106.945645482  2.65374931804
106.654163196  2.66574676478
107.727105971  2.63175676536
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
#File:  17 3000
nan  nan
nan  nan
143.649317294  1.60774848308
130.263067074  2.15125990132
118.875372199  2.591770673
116.934895042  2.66035515334
114.717675416  2.73693884992
114.301836298  2.75819662187
115.223103529  2.72744500697
115.260808456  2.73000898456
114.474581922  2.75635597078
113.801757379  2.76956031764
112.602068046  2.81963269197
112.165448922  2.82944556103
112.901789979  2.80794893337
113.333216662  2.78449523437
113.094254436  2.80182282365
113.782110605  2.7755030762
112.392438503  2.82220314166
107.807648554  2.97702253106
108.916784396  2.94323094421
111.553296719  2.85587627624
111.305173937  2.86436652947
112.001584502  2.83922713816
112.541526042  2.81911102267
113.662828998  2.77796467199
112.159664248  2.83059839933
111.186149772  2.86338215803
109.493308753  2.91858125722
109.538253815  2.92105461815
110.62247616  2.88110636364
112.264379578  2.83160760604
111.763644785  2.84649684322
110.622378533  2.87742411728
109.218718845  2.93019976646
109.446740921  2.92611042159
108.637391544  2.95046270031
110.825743216  2.87633459358
109.463965241  2.92359613201
109.750185577  2.91403867503
109.454149364  2.9228299341
106.995709809  3.00725430232
107.990281913  2.97363773811
108.435804573  2.95660061149
108.672598583  2.94775179601
110.06412337  2.90301148047
111.39201106  2.85928712357
110.701713085  2.87827220944
109.762082211  2.9120552525
109.048446908  2.93866208395
109.627402373  2.91702548469
108.920093951  2.94073156769
108.336643643  2.95774260582
107.68702646  2.97947910839
108.698024532  2.94784156569
109.54440744  2.91775968964
109.137978683  2.9350042677
109.568314606  2.91782765981
109.33316822  2.92964581815
108.587512855  2.95312186936
107.495360889  2.98947750706
106.664629111  3.01872624105
107.082997861  3.00407412367
107.844993066  2.97585623588
106.183025391  3.03313036073
104.679115514  3.09069548897
105.902858529  3.04358036497
106.381413798  3.03047754377
105.793002632  3.04533899872
107.470511404  2.99114112055
108.171604257  2.9679899259
108.750252875  2.94823587754
108.508885289  2.95766117139
108.604809362  2.9497707335
108.174766346  2.96505953211
108.438567495  2.96013872906
107.666010888  2.97928743056
108.757595718  2.94883102623
107.397842882  2.99235431377
107.300065382  2.99317002195
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
#File:  17 4000
nan  nan
nan  nan
nan  nan
158.77688382  1.05316506219
143.263651288  1.79524159458
134.841634014  2.1826107221
123.421334085  2.66559419014
119.060868499  2.83657250607
117.768915265  2.91207881735
114.888581664  3.01874397295
111.675966112  3.13957822259
109.393328378  3.22844721484
108.357453459  3.2689759218
107.978943451  3.28018379522
107.284382731  3.29927959605
107.7235997  3.28701058333
106.863157754  3.31733558577
105.994503133  3.34923096447
106.411620492  3.33900450036
105.114801822  3.38165667351
104.861132693  3.39340965676
105.559379666  3.36719682683
107.207508736  3.3067167624
106.794071728  3.32199629198
105.234519281  3.37401229786
106.038814927  3.35223464269
106.389422035  3.33770504224
106.18248811  3.34563553839
105.769589126  3.3617810945
106.040579819  3.35253656741
106.146608974  3.34261852951
