Contact Angle  Base Radius
#File:  5 1000
155.46083597  0.814232964321
144.610269448  1.14799683643
143.081028098  1.19217065484
133.888733089  1.45553026481
135.157136159  1.41797638143
137.150958197  1.36345743202
136.559944392  1.38522717701
139.39968632  1.29871397414
142.893951954  1.19973091612
142.18623774  1.21812527747
142.766668797  1.20271129863
141.585798256  1.23452166513
140.843342758  1.25856291387
140.340612664  1.27397283531
140.822662521  1.25986817933
142.880484107  1.19855146777
140.335545991  1.27317373778
140.696352566  1.25931098058
140.779149269  1.25812575031
142.664192696  1.20503366356
142.625416593  1.2066869731
142.063180407  1.22258013415
141.521788131  1.23837972628
143.85498923  1.17003560635
141.49786174  1.23824630239
140.245787653  1.27545830188
140.304678211  1.27374853403
140.399374943  1.26947883813
140.407420461  1.26864734659
140.252039124  1.27443177844
141.9732662  1.22626831537
139.096027428  1.30842852314
140.952472369  1.25361944703
141.907530084  1.22615636971
143.201599099  1.18873681687
139.593507997  1.29324180967
142.161776182  1.22006298425
139.596677643  1.29139973714
142.493252872  1.20896448096
138.882826661  1.31757586152
142.653813175  1.20615108827
141.768699261  1.23285918441
141.412298577  1.2402131988
140.55525155  1.2693892103
141.333538834  1.24113720214
141.43473642  1.24118624144
139.341221003  1.29666386559
140.245589257  1.27460997969
139.502410913  1.29432451301
141.300299665  1.2432553875
142.015892545  1.22408302275
139.744811301  1.2883028665
140.30670015  1.27704791618
141.224836098  1.24573645167
144.012230048  1.16013897232
142.180628573  1.21672845036
140.440580664  1.26832906089
142.892562702  1.19505794723
138.705805511  1.32177598045
140.82279277  1.25805187487
141.055901429  1.25081846202
141.518840248  1.23422590912
142.311158688  1.21800881055
142.583059857  1.20575989251
140.40937904  1.26801547819
141.731421688  1.23175806925
141.763697669  1.23100801034
143.780532102  1.1690425076
140.015505721  1.27995899512
139.883557873  1.28088823276
140.563249575  1.26423253148
141.346093411  1.24129479723
140.685206587  1.26386601546
141.087120643  1.24225823426
141.653025616  1.22874922786
139.666507804  1.29262340496
141.311585508  1.24054013854
142.579789844  1.20230382898
139.979054836  1.28027256294
140.837479342  1.25626909424
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
nan  nan
