Contact Angle  Base Radius
#File:  11 6500
165.126016175  0.875222420311
150.574608474  1.72188980055
149.780610206  1.76088819626
146.082927364  1.95912384897
149.331938511  1.76573636595
141.060783488  2.22977188653
140.022095806  2.27546503491
138.561848896  2.35430733107
138.50015347  2.34421165762
136.034235906  2.47198375026
130.645095161  2.76084294505
131.402642409  2.69946872694
131.759274469  2.67990025877
130.372238929  2.7420765432
130.22601971  2.73294295385
124.874584449  3.01828948917
120.439228265  3.22285791473
120.847974726  3.21926051277
121.936836705  3.15652114391
118.086606118  3.31968566141
118.586969645  3.31622575905
118.030280496  3.33952109804
117.872121749  3.35272279641
116.766648469  3.39311419573
116.637119496  3.40063854457
116.063162447  3.41962699493
115.443156782  3.44680026761
115.359032054  3.45652223635
115.453985724  3.4510149519
115.326378016  3.45573608339
115.447828737  3.45024839488
114.417662482  3.48531592047
114.450748507  3.4899727514
114.505455831  3.49262578243
114.399234087  3.49515761997
114.400465303  3.49746543019
114.468483142  3.49451211692
113.881452608  3.51679020007
113.19750384  3.54481351051
112.982432762  3.55041783614
#File:  11 9000
174.089726167  0.388878523748
157.054851246  1.50488452961
159.210553627  1.35731577782
154.979502523  1.62887672716
151.144382709  1.87160966146
154.500524301  1.6505614358
152.829433191  1.75125800264
144.925422893  2.25800729652
144.720668122  2.26279079685
140.824272937  2.51175827295
146.258436246  2.15733219169
141.270567701  2.47071104449
137.935025139  2.67894429273
137.296588499  2.71149011084
139.726896506  2.55481191193
140.633838641  2.48495667146
135.14529328  2.82784008555
134.326515854  2.88096271674
132.686492356  2.97542004578
136.059205106  2.75997100821
138.351689902  2.59289615316
130.160668356  3.11414785807
131.365614532  3.03139256651
129.751449985  3.12846498455
131.46313252  3.01004639917
126.29322416  3.31870375466
128.93787028  3.16019555861
125.809017203  3.35050662893
125.680264973  3.35688964859
130.570753554  3.0469779832
124.7490764  3.40224552498
124.413749719  3.41722434367
124.333838358  3.42372585666
123.263080754  3.46828872628
123.144924327  3.47958787825
122.055868209  3.51883530035
124.129996749  3.41357932878
121.706534323  3.5484941178
119.497010232  3.62632214116
125.265429459  3.32680740561
